96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
50995,26,16104,D1,,,LEFT,,4/21/2021,DB
50995,27,16104,E1,,,LEFT,,4/21/2021,DB
50995,28,16104,F1,,,LEFT,,4/21/2021,DB
50995,29,16104,G1,,,LEFT,,4/21/2021,DB
50995,30,16104,A2,,,UNK,,4/21/2021,DB
50995,31,16104,A2,,,UNK,,4/21/2021,DB
50995,32,16104,A3,,,LEFT,,4/21/2021,DB
50995,33,16104,G3,,,LEFT,,4/21/2021,DB
50995,34,16104,H3,,,LEFT,,4/21/2021,DB
50995,35,16104,A4,,,LEFT,,4/21/2021,DB
50995,36,16104,B4,,,LEFT,,4/21/2021,DB
50995,37,16104,G4,,,LEFT,,4/21/2021,DB
50995,38,16104,A5,,,LEFT,,4/21/2021,DB
50995,39,16104,B5,,,LEFT,,4/21/2021,DB
50995,40,16104,C5,,,LEFT,,4/21/2021,DB
50995,41,16104,C5,,,LEFT,,4/21/2021,DB
50995,42,16104,F5,,,LEFT,,4/21/2021,DB
50995,43,16104,H5,,,LEFT,,4/21/2021,DB
50995,44,16104,A6,,,LEFT,,4/21/2021,DB
50995,45,16104,B6,,,LEFT,,4/21/2021,DB
50995,46,16104,C6,,,LEFT,,4/21/2021,DB
50995,47,16104,F6,,,LEFT,,4/21/2021,DB
50995,48,16104,H6,,,LEFT,,4/21/2021,DB
50995,49,16164,A1,,,LEFT,,4/21/2021,DB
50995,50,16164,B1,,,LEFT,,4/21/2021,DB
50995,51,16164,C1,,,LEFT,,4/21/2021,DB
50995,52,16164,D1,,,LEFT,,4/21/2021,DB
50995,53,16164,E1,,,LEFT,,4/21/2021,DB
50995,54,16164,E1,,,LEFT,,4/21/2021,DB
50995,55,16164,G1,,,LEFT,,4/21/2021,DB
50995,56,16164,H1,,,LEFT,,4/21/2021,DB
50995,57,16164,A2,,,LEFT,,4/21/2021,DB
50995,58,16164,F2,,,LEFT,,4/21/2021,DB
50995,59,16164,F2,,,LEFT,,4/21/2021,DB
50995,60,16164,G2,,,LEFT,,4/21/2021,DB
50995,61,16164,H2,,,LEFT,,4/21/2021,DB
50995,62,16164,A3,,,LEFT,,4/21/2021,DB
50995,63,16164,D3,,,LEFT,,4/21/2021,DB
50995,64,16164,D4,,,LEFT,,4/21/2021,DB
50995,65,16164,E4,,,LEFT,,4/21/2021,DB
50995,66,16164,H4,,,LEFT,,4/21/2021,DB
50995,67,14463,A1,,,LEFT,,4/22/2021,DB
50995,68,14463,E1,,,LEFT,,4/22/2021,DB
50995,69,14463,F1,,,LEFT,,4/22/2021,DB
50995,70,14463,G1,,,LEFT,,4/22/2021,DB
50995,71,14463,A2,,,LEFT,,4/22/2021,DB
50995,72,14463,B2,,,LEFT,,4/22/2021,DB
50995,73,14463,C2,,,LEFT,,4/22/2021,DB
50995,74,14463,D2,,,LEFT,,4/22/2021,DB
50995,75,14463,G2,,,LEFT,,4/22/2021,DB
50995,76,14463,H2,,,LEFT,,4/22/2021,DB
50995,77,14463,A3,,,LEFT,,4/22/2021,DB
50995,78,14463,B3,,,LEFT,,4/22/2021,DB
50995,79,14463,D3,,,LEFT,,4/22/2021,DB
50995,80,14463,E3,,,LEFT,,4/22/2021,DB
50995,81,14463,G3,,,LEFT,,4/22/2021,DB
50995,82,14463,A4,,,LEFT,,4/22/2021,DB
50995,83,14463,B4,,,LEFT,,4/22/2021,DB
50995,84,14463,B4,,,UNK,,4/22/2021,DB
50995,85,14463,A6,,,LEFT,,4/22/2021,DB
50995,86,14463,C6,,,LEFT,,4/22/2021,DB
50995,87,14463,D6,,,LEFT,,4/22/2021,DB
50995,88,14463,E6,,,LEFT,,4/22/2021,DB
50995,89,14463,F6,,,LEFT,,4/22/2021,DB
50995,90,14463,G6,,,LEFT,,4/22/2021,DB
50995,91,14463,H6,,,LEFT,,4/22/2021,DB
50995,92,28807,A1,,,LEFT,,4/22/2021,DB
50995,93,28807,B1,,,LEFT,,4/22/2021,DB
50995,94,28807,C1,,,LEFT,,4/22/2021,DB
50995,95,28807,C1,,,LEFT,,4/22/2021,DB
50995,96,NTC,NTC,,,,,4/22/2021,DB
50999,1,28807,D1,,,LEFT,,4/22/2021,DB
50999,2,28807,E1,,,LEFT,,4/22/2021,DB
50999,3,28807,F1,,,LEFT,,4/22/2021,DB
50999,4,28807,G1,,,LEFT,,4/22/2021,DB
50999,5,28807,H1,,,LEFT,,4/22/2021,DB
50999,6,28807,A2,,,LEFT,,4/22/2021,DB
50999,7,28807,B2,,,LEFT,,4/22/2021,DB
50999,8,28807,B2,,,UNK,,4/22/2021,DB
50999,9,28807,B2,,,LEFT,,4/22/2021,DB
50999,10,28807,H2,,,LEFT,,4/22/2021,DB
50999,11,28807,A3,,,LEFT,,4/22/2021,DB
50999,12,28807,A3,,,LEFT,,4/22/2021,DB
50999,13,28807,A4,,,LEFT,,4/22/2021,DB
50999,14,28807,A4,,,LEFT,,4/22/2021,DB
50999,15,28807,A4,,,LEFT,,4/22/2021,DB
50999,16,28807,A4,,,LEFT,,4/22/2021,DB
50999,17,28807,A4,,,LEFT,,4/22/2021,DB
50999,18,28807,A4,,,LEFT,,4/22/2021,DB
50999,19,28807,B4,,,LEFT,,4/22/2021,DB
50999,20,28807,B4,,,LEFT,,4/22/2021,DB
50999,21,28807,A5,,,LEFT,,4/22/2021,DB
50999,22,28807,A5,,,LEFT,,4/22/2021,DB
50999,23,28807,A5,,,LEFT,,4/22/2021,DB
50999,24,28807,B5,,,LEFT,,4/22/2021,DB
50999,25,28807,B5,,,LEFT,,4/22/2021,DB
50999,26,28807,B5,,,LEFT,,4/22/2021,DB
50999,27,28807,B5,,,LEFT,,4/22/2021,DB
50999,28,28807,C5,,,LEFT,,4/22/2021,DB
50999,29,28807,C5,,,LEFT,,4/22/2021,DB
50999,30,28807,H5,,,LEFT,,4/22/2021,DB
50999,31,28807,A6,,,LEFT,,4/22/2021,DB
50999,32,28807,B6,,,LEFT,,4/22/2021,DB
