SillySource,oto_tray_and_well,96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials,silly_code,stream,sample_year,sample_date,otolith_info,pass_QA,genotype_match_assigned,logic_match_assigned,non_GOD_assignment,otolith_moved,heart_fish_id,heart_position
PGOD21_107,50995_12,50995,12,14395,G4,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_1032,G5
PGOD21_108,50995_13,50995,13,14395,G4,NA,NA,unk,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_109,50995_14,50995,14,14395,A5,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1026,A5
PGOD21_110,50995_15,50995,15,14395,F5,NA,NA,unk,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_111,50995_16,50995,16,14395,H5,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_112,50995_17,50995,17,14395,B6,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1035,B6
PGOD21_113,50995_18,50995,18,14395,C6,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1036,C6
PGOD21_114,50995_19,50995,19,14395,F6,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_115,50995_20,50995,20,14395,G6,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_1040,G6
PGOD21_116,50995_21,50995,21,14395,H6,NA,NA,left,NA,4/21/2021,DB,PERB16,Erb Creek,2016,2016-08-26,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
