otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_2032,PGILMOUR15_521,114,2,0.8804347826086957,2123,0.32929841897233203,F5,F,5,F5,F,5,PGILMOUR15_521,2,0.8804347826086957,0,self
PGOD21_2033,PGILMOUR15_522,145,2,0.8562091503267973,2123,0.3051887421635321,G5,G,5,G5,G,5,PGILMOUR15_522,2,0.8562091503267973,0,self
PGOD21_2034,PGILMOUR15_530,208,3,0.9222222222222223,2123,0.4333333333333334,G6,G,6,G6,G,6,PGILMOUR15_530,3,0.9222222222222223,0,self
PGOD21_3421,PGILMOUR15_569,41,0,0.9727626459143969,2124,0.43942931258106355,F5,F,5,F5,F,5,PGILMOUR15_569,0,0.9727626459143969,0,self
PGOD21_3422,PGILMOUR15_570,86,13,0.69377990430622,2124,0.15132707411754076,G5,G,5,G5,G,5,PGILMOUR15_570,13,0.69377990430622,0,self
PGOD21_3423,PGILMOUR15_571,134,3,0.6585365853658537,2124,0.12195121951219512,H5,H,5,H5,H,5,PGILMOUR15_571,3,0.6585365853658537,0,self
PGOD21_3589,PGILMOUR15_543,7,3,0.9965277777777778,2124,0.5034722222222222,D2,D,2,D2,D,2,PGILMOUR15_543,3,0.9965277777777778,0,self
PGOD21_3590,PGILMOUR15_547,44,1,0.5573122529644269,2124,0.01976284584980237,E2,E,2,H2,H,2,PGILMOUR15_544,3,0.49603174603174605,0.061280506932680834,not_self
PGOD21_3591,PGILMOUR15_545,194,3,0.7692307692307693,2124,0.1923076923076924,F2,F,2,F2,F,2,PGILMOUR15_545,3,0.7692307692307693,0,self
PGOD21_3592,PGILMOUR15_546,97,1,0.7860696517412935,2124,0.24378109452736318,G2,G,2,G2,G,2,PGILMOUR15_546,1,0.7860696517412935,0,self
PGOD21_3593,PGILMOUR15_547,144,1,0.8636363636363636,2124,0.2688651218062983,H2,H,2,H2,H,2,PGILMOUR15_547,1,0.8636363636363636,0,self
PGOD21_3594,PGILMOUR15_549,110,8,0.8763440860215054,2124,0.34974834134065436,B3,B,3,B3,B,3,PGILMOUR15_549,8,0.8763440860215054,0,self
PGOD21_3595,PGILMOUR15_558,173,4,0.7258064516129032,2124,0.185483870967742,C3,C,3,C4,C,4,PGILMOUR15_550,0,0.424,0.30180645161290326,not_self
PGOD21_3596,PGILMOUR15_550,66,0,0.9913793103448276,2124,0.4762277951933125,C3,C,3,C3,C,3,PGILMOUR15_550,0,0.9913793103448276,0,self
PGOD21_3599,PGILMOUR15_553,151,5,0.8231292517006803,2124,0.2888826763582145,H3,H,3,F3,F,3,PGILMOUR15_555,0,0.42857142857142855,0.39455782312925175,not_self
PGOD21_3600,PGILMOUR15_557,74,19,0.9140271493212669,2124,0.36694194752754494,B4,B,4,B4,B,4,PGILMOUR15_557,19,0.9140271493212669,0,self
PGOD21_3601,PGILMOUR15_552,103,9,0.9072164948453608,2124,0.35567010309278346,D4,D,4,E3,E,3,PGILMOUR15_559,5,0.48717948717948717,0.42003700766587365,not_self
PGOD21_3602,PGILMOUR15_559,190,5,0.9722222222222222,2124,0.4351851851851851,E4,E,4,D4,D,4,NA,NA,NA,NA,not_self
PGOD21_3604,PGILMOUR15_561,93,0,0.9902439024390244,2124,0.5024390243902439,F4,F,4,F4,F,4,PGILMOUR15_561,0,0.9902439024390244,0,self
PGOD21_3606,PGILMOUR15_558,165,4,0.5112781954887218,2124,0.007518796992481147,H4,H,4,C4,C,4,PGILMOUR15_563,0,0.44360902255639095,0.06766917293233082,not_self
PGOD21_3608,PGILMOUR15_566,105,1,0.6787564766839378,2124,0.13471502590673567,C5,C,5,C5,C,5,PGILMOUR15_566,1,0.6787564766839378,0,self
PGOD21_3610,PGILMOUR15_537,111,1,0.521505376344086,2124,0.02952676671841753,E5,E,5,F1,F,1,NA,NA,NA,NA,not_self
PGOD21_4809,PGILMOUR15_533,206,4,0.5652173913043478,2124,0.010869565217391242,vial,NA,NA,B1,B,1,NA,NA,NA,NA,not_self
